n_gram,pop_raw,rock_raw,country_raw,alternative_raw,punk_raw,metal_raw,rap_raw,soul_raw,jazz_raw,reggae_raw,electronic_raw,other_raw,counts_completed
baseline,131247,81276,15884,4358,10060,3007,4013,2909,1857,2156,545,106961,True
"C,F",92276,57275,13287,2651,7242,1832,1913,1806,1123,1198,287,78094,True
"F,C",94559,59379,13617,2882,7671,2113,2090,1742,1111,1206,351,77885,True
"C,E7",3323,1802,310,71,130,41,79,106,90,35,5,3600,True
"E7,Amin",8916,4529,578,223,287,112,221,248,267,90,26,9391,True
"Amin,C",49534,27749,4685,1846,3385,1464,1297,940,560,690,192,36801,True
"C,G7",6143,3871,1620,82,160,50,93,190,154,36,14,7849,True
"G7,C",15941,9686,3001,243,435,133,276,582,478,141,30,18457,True
"F,G7",5786,3452,1322,96,137,55,97,196,127,49,7,6635,True
"C,D",77033,48865,10005,2316,6518,2056,1609,1425,880,1064,270,61342,True
"E,D",69547,44616,8963,2225,5930,1871,1434,1192,744,885,257,53082,True
"A,C",22839,17218,2023,898,2511,802,407,474,267,274,80,15222,True
"C,E",26507,16585,2253,954,2481,854,661,485,356,283,101,19996,True
"E,C",16195,11301,1185,631,2086,581,356,316,221,191,56,11600,True
"G,E",33994,22389,3975,1160,3059,1019,675,681,432,376,133,26116,True
"F,Dmin",60625,32648,6422,1945,3883,1513,1454,1170,707,743,214,48064,True
"Dmin,G",32166,17829,3067,812,1524,701,697,713,443,438,107,26139,True
"G,Dmin",26069,15307,2202,891,1381,820,589,506,301,369,133,18120,True
"G,Dmin7",2911,1797,326,78,59,36,55,142,78,35,12,2530,True
"Dmin7,G",5739,3130,549,106,110,52,138,301,212,46,14,4988,True
"C,Bmin",15043,8656,1097,552,942,512,326,317,153,226,56,10050,True
"Bmin,Emin",32227,16762,1932,1049,1770,939,988,659,430,624,115,24964,True
"F,E",19175,13114,1262,721,1923,772,439,425,304,255,63,13706,True
"E,Amin",18673,10481,959,586,1287,786,513,378,314,231,67,14682,True
"G,Bmin",46362,24395,4104,1720,3107,1388,1208,734,476,576,168,33584,True
"Bmin,Amin",10111,5622,666,359,554,275,275,304,133,229,38,7118,True
"Emin,Amin7",2833,1318,190,78,50,20,68,156,74,19,10,2332,True
"Amin7,D7",3286,1627,237,73,75,20,104,310,247,24,14,3213,True
"Fsmin,Fsno3d",237,226,15,21,27,32,8,2,0,5,0,146,True
"Fsno3d,Bno3d",1198,1935,44,85,421,88,14,9,5,7,5,563,True
"Bno3d,E",905,1186,66,48,178,42,13,9,7,10,8,500,True
"E,Fsno3d",603,672,38,33,87,55,6,5,5,4,1,294,True
"E,Fsmin",64823,35190,6575,2068,4235,1856,1593,1060,681,971,220,50116,True
"B,Asno3d",198,200,6,12,29,29,4,4,1,2,1,91,True
"Asno3d,Gsmin",92,95,1,7,17,19,2,3,1,1,0,48,True
"Csmin,Gsmin",28569,14760,1592,1039,1633,992,893,534,367,538,129,20635,True
