n_gram,pop_raw,rock_raw,country_raw,alternative_raw,punk_raw,metal_raw,rap_raw,soul_raw,jazz_raw,reggae_raw,electronic_raw,other_raw,counts_completed
"Gsmin,Fs",56348,31041,5521,1901,3579,1647,1350,1005,561,865,206,42600,True
"Fsmin,Bno3d",180,193,14,11,20,24,2,3,1,1,2,108,True
"Amin,Fmaj7",2096,998,96,86,61,50,101,64,35,17,13,1413,True
"Fmaj7,Amin",1972,912,99,93,63,47,93,66,34,17,6,1325,True
"Amin,F",57465,30430,5491,1951,3965,1743,1540,889,602,775,190,43866,True
"Cmaj7,C",2203,1039,152,84,61,36,67,110,57,15,6,1611,True
"C,Cmaj7",3033,1584,226,108,86,52,59,121,66,27,5,2283,True
"G,Cmaj7",3260,1503,198,121,95,40,99,156,62,19,10,2562,True
"C,Amin7",6371,3661,712,137,133,79,131,281,139,47,11,5700,True
"Amin7,Emin",1998,1105,132,63,40,30,65,105,44,31,6,1536,True
"Amin7,G",6097,3578,662,152,140,78,128,285,158,56,14,5737,True
"Emin,Gmaj7",805,341,39,39,22,19,36,36,9,12,6,588,True
"Gmaj7,Amin",589,267,31,27,11,7,11,43,12,8,1,445,True
"Cmaj7,Emin7",759,312,22,43,21,13,26,67,36,7,5,528,True
"Emin7,Cmaj7",919,408,32,42,14,11,43,64,33,10,6,645,True
"Cmaj7,Amin7",1482,721,60,54,33,15,51,119,69,10,4,1130,True
"Amin7,Cmaj7",812,397,47,49,21,14,28,82,36,7,5,659,True
"Amin7,Emin7",1427,836,71,57,39,12,68,139,83,20,4,1183,True
"Emin7,Fsmin",829,436,51,27,15,6,20,53,26,14,5,581,True
"Fsmin,Amin",2204,1262,118,75,104,78,51,60,48,31,13,1606,True
"Amin,Fsmin",1481,874,90,85,98,71,42,43,31,20,11,1034,True
"Fsmin,Cmin",353,186,20,15,13,20,14,7,6,9,4,276,True
"Cmin,B",4714,2735,241,195,299,168,99,151,77,64,18,3354,True
"B,Cmaj7",350,187,8,21,10,7,10,13,11,2,3,255,True
"B,Amin7",434,227,18,18,12,6,19,24,22,2,1,283,True
"Emin7,Dmin7",1775,988,71,70,35,12,62,184,95,28,7,1360,True
"Dmin7,Cmaj7",634,358,18,39,11,3,15,112,37,12,3,525,True
"Cmaj7,Amin",1851,800,89,62,46,42,64,85,44,19,8,1286,True
"Amin,Emin7",1499,802,98,41,26,20,45,77,32,21,7,1081,True
"G7,Cmaj7",1119,482,43,28,15,6,47,139,108,7,1,952,True
"G7,Amin7",602,371,44,17,13,6,29,87,74,8,4,646,True
"B,B7",9861,6198,1635,169,312,109,182,342,246,78,24,10868,True
"B7,Amin7",343,181,9,11,8,3,13,24,31,4,0,274,True
"G,Cadd9",1981,1222,431,59,75,26,38,30,24,16,5,1791,True
"Cadd9,G",2606,1598,526,94,110,38,42,41,29,21,10,2216,True
"Bmin,C",23583,12271,1751,744,1449,684,516,436,236,321,81,16646,True
"Amin,Amin7",3288,1767,225,104,104,52,66,129,85,23,14,2430,True
"Fmaj7,Esus4",85,67,4,5,3,2,1,5,2,0,0,67,True
"Esus4,E",6529,4326,677,150,239,147,101,93,70,57,19,5523,True
"Fmaj7,E",1046,512,31,40,29,13,42,66,37,5,4,649,True
"G,Esus4",711,531,65,28,23,25,8,7,12,7,5,559,True
"Fmaj7,E7",471,195,11,19,11,4,27,37,32,5,2,335,True
"E7,C",1664,1017,114,46,67,25,39,80,70,13,8,1470,True
"Amin,E7",2915,1530,202,67,109,42,59,62,102,26,8,3412,True
"E7,F",2608,1522,265,64,105,45,60,97,98,21,8,2444,True
"G,E7",3698,2190,551,76,118,43,73,125,115,38,10,3939,True
"B,Amin",4595,2743,222,182,397,197,123,85,89,60,12,3164,True
"Amin,Bsus4",258,138,14,6,14,12,5,8,1,2,0,196,True
"Emin,D7",982,565,149,26,25,19,21,41,28,15,1,1238,True
"C,Bsus4",327,251,23,14,15,15,6,7,1,3,1,254,True
"Emin7,C",4494,2429,449,119,120,59,102,160,87,40,15,3631,True
"Amin,Asus2",661,409,44,42,44,37,19,7,7,8,2,418,True
"Asus2,Amin",569,382,32,38,32,39,18,8,9,6,4,410,True
"F,E7",2788,1579,206,67,77,49,67,97,91,28,9,2840,True
"Fmaj7,G",2512,1233,132,85,62,43,72,107,58,19,13,1739,True
"Dmin,Gadd11",63,35,2,1,1,1,0,0,0,1,0,51,True
"Gadd11,G",656,312,35,4,18,12,6,5,8,4,1,468,True
"G,Fmaj7",2186,1052,122,70,63,29,75,66,32,15,6,1514,True
"Cmin7,Bbmin9",65,57,3,0,0,0,2,12,8,0,0,60,True
"Bbmin9,Fmin7",72,44,3,1,2,1,4,11,3,0,1,45,True
"Bbmin9,Dbmaj7",56,40,1,1,1,2,3,7,4,1,0,60,True
"Dbmaj7,F",325,212,12,12,13,3,9,24,13,2,2,215,True
"F,Eaug",28,17,3,0,0,0,0,1,3,0,0,30,True
"Eaug,Fmin11",0,0,0,0,0,0,0,0,0,0,0,2,True
"Fmin11,Ebmin9",2,4,1,0,0,0,0,0,1,0,0,4,True
"Ebmin9,Ab13",47,27,1,3,2,0,3,8,7,1,1,42,True
"Ab13,Dbmaj7",64,41,1,4,3,0,2,7,9,1,1,56,True
"C7,Fmin7",1695,871,93,60,34,14,68,178,145,12,5,1592,True
"Bb7,Bbmin7",644,328,64,21,10,7,14,61,59,9,0,600,True
"Bbmin7,C13b",7,2,0,0,0,0,0,0,0,0,0,3,True
"C13b,Fmin7",11,5,0,0,0,0,0,1,2,0,0,15,True
"Amin,A7",1272,629,58,31,36,13,25,34,29,14,2,1642,True
"Amin,A",7812,4678,527,286,434,213,183,199,132,73,28,6263,True
"Dmin7,Dmin",1951,1053,169,78,65,27,54,88,54,15,4,1446,True
"Amin7,A7",511,273,32,25,12,9,18,50,35,1,1,463,True
"Dmin,A",18753,10401,1116,612,1310,622,469,365,330,270,80,14838,True
"G7,F",3970,2765,825,76,116,39,70,151,102,32,10,4136,True
"Bb,Edim7",225,131,8,4,7,10,5,8,5,0,1,217,True
"Edim7,A7",322,132,7,8,8,4,9,34,33,3,0,326,True
"Bb,Edim",151,94,16,3,3,3,2,4,5,1,2,141,True
"Edim,Bminadd13",0,1,0,0,0,0,0,0,2,0,0,4,True
"Bminadd13,G",181,137,7,3,6,8,1,7,7,1,1,151,True
"A,C7",279,194,26,9,11,7,9,14,15,3,0,310,True
"D,Dmin",9925,5885,826,334,571,274,242,276,194,109,30,7784,True
"Dmin,E7",2595,1203,111,55,81,33,65,64,95,27,6,2658,True
"D,D",13509,9221,1826,393,794,278,255,300,248,120,40,11978,True
"D,Dsus2",3030,1931,327,81,118,54,52,32,31,24,15,2432,True
"A,Ano3d",688,704,46,35,83,35,10,9,9,4,2,368,True
"Ano3d,A",822,830,52,46,96,48,14,10,6,5,4,475,True
"Esus4,Fsmin",922,549,101,25,27,28,15,12,11,8,5,731,True
"Csno3d,Ano3d",704,996,26,53,276,90,15,7,0,11,2,319,True
"Ano3d,Bno3d",1491,2234,55,99,481,131,24,17,9,17,3,679,True
"Eno3d,Csno3d",851,1315,27,62,269,93,9,9,3,7,1,377,True
"Csno3d,Cno3d",714,1050,23,53,194,87,13,10,8,10,1,373,True
"Bno3d,Ano3d",1392,2153,54,97,381,126,18,16,7,11,4,642,True
"Eno3d,Gsno3d",612,844,15,45,194,59,11,3,1,4,3,268,True
"Gsno3d,Ano3d",732,1083,27,59,200,79,11,7,6,4,1,336,True
"Ano3d,Eno3d",1366,2039,39,82,436,115,19,14,5,10,3,594,True
"Emin7,G",4944,2909,537,139,132,67,111,236,112,52,17,4164,True
"D,Emin7",6177,3436,732,121,142,66,135,260,150,56,6,5791,True
"Emin7,Cadd9",807,424,129,24,27,12,12,14,4,7,1,651,True
"Bmin,G7",652,375,25,15,22,8,20,29,26,6,3,584,True
"G7,A7",601,669,80,10,17,9,18,70,47,11,2,678,True
"A7,C",2002,1362,268,59,83,28,38,74,54,21,5,1708,True
"Emin7,Amin",2992,1513,181,73,61,35,90,157,80,39,5,2456,True
"Emin7,Amin7",2481,1297,131,80,52,14,101,221,154,30,9,2270,True
"Eb7,Ab7",3063,2177,623,41,93,21,65,208,191,23,7,3332,True
"Ab7,Ab",2446,1689,341,41,101,36,62,119,75,19,7,2195,True
"C,Emin7",2873,1721,270,81,70,40,72,139,69,28,4,2626,True
"Dmin7,Gno3d",48,45,1,2,5,1,2,2,1,0,0,29,True
"G,C7",1950,1604,321,36,68,17,45,98,93,22,1,2146,True
"Dmin,G7",4844,2539,558,87,113,33,84,169,146,49,13,5538,True
"Amin,Bmin",9684,5016,552,348,597,295,273,274,106,225,44,6499,True
"A,Bb",12876,9165,884,481,1693,573,265,296,208,143,38,9248,True
"F,Bmin",1476,913,70,71,111,86,32,45,18,16,3,870,True
"Gmin,E",2971,1622,137,111,225,138,104,78,65,46,14,2283,True
"Bmin,Fsmaj7",170,69,6,8,3,2,7,15,6,1,0,122,True
"Gs,Emaj7",367,219,15,11,14,6,9,29,3,3,3,233,True
"Fsmin7,Bsus4",629,362,77,9,8,8,9,11,8,1,1,608,True
"Bsus4,Csmin7",522,275,44,13,15,8,8,12,8,5,1,457,True
"E,Esus4",4301,3118,496,113,194,79,58,58,51,38,15,3223,True
"Fsmin7,Gsmin7",1634,867,67,64,35,11,57,166,93,30,7,1227,True
"Bsus4,E",2923,1776,313,70,113,44,47,49,38,22,13,2298,True
"E,Amin7",985,562,53,26,24,11,31,68,43,10,4,811,True
"Amin7,E",1511,886,101,48,40,30,51,91,65,19,3,1178,True
"Csmin7,Amin7",141,65,8,6,4,1,7,11,19,0,0,84,True
"Fsmin7,Esus4",505,291,42,17,15,7,11,11,10,4,2,471,True
"Dmin,Cs7",131,85,2,1,8,0,1,10,7,1,1,142,True
"Cs7,Csmaj7",106,35,5,5,3,3,1,9,8,1,0,93,True
"Csmaj7,Dmin",35,21,1,3,2,0,1,7,3,0,0,25,True
"Dmin,E",10052,5090,502,328,618,403,263,214,163,146,39,7536,True
"Amin,Amin",3181,1978,243,93,105,59,73,70,78,24,10,2704,True
"F,Bmaj7",76,37,2,3,1,2,4,7,1,0,1,46,True
"Bmaj7,Gmin7",29,19,0,3,0,0,2,2,2,0,0,20,True
"Gmin7,Emin7",176,114,10,10,1,2,5,24,26,1,0,170,True
"Ab,Amin",1922,1148,113,84,164,79,59,51,27,28,6,1265,True
"Amin,Fmin",1311,681,72,51,78,53,43,33,29,18,6,979,True
"Dmin,Fs",862,438,44,34,55,22,25,21,17,7,0,653,True
"Gno3d,Cmin",200,206,9,17,28,23,3,4,3,1,2,133,True
"Cmin,Gno3d",150,130,7,8,22,15,2,2,3,3,1,94,True
"Cmaj7,A",1158,588,58,50,36,17,45,60,34,7,5,828,True
"B7,Cmaj7",310,119,8,13,4,3,11,20,20,3,2,231,True
"Bmin7,Amin",985,513,54,29,22,6,18,67,36,18,3,756,True
"G7,A",1504,1032,151,40,47,31,46,73,64,19,4,1420,True
"C7,Amin",1006,534,68,27,28,9,25,51,47,13,2,990,True
"C,Fs",3372,2515,180,128,385,123,81,73,56,47,18,2425,True
"Fs,C9",9,12,2,1,0,0,0,2,0,0,0,9,True
"C9,F",406,329,37,11,8,9,9,37,26,4,1,421,True
"A,Dsus4",1124,765,98,31,43,24,14,19,16,6,4,928,True
"Dsus4,Bmin7",238,120,12,1,6,3,9,5,3,1,0,200,True
"Bmin,C9",47,26,4,0,1,0,0,2,0,5,0,39,True
"C9,Bmin",41,28,3,3,1,0,2,5,0,2,1,36,True
"Bbmaj7,Fs7sus4",2,0,0,0,0,0,0,0,0,0,0,0,True
"Fs7sus4,D",36,31,2,1,3,0,0,2,1,0,0,22,True
"D,B7sus4",83,61,11,4,6,1,4,3,1,0,0,84,True
"B7sus4,Bb",10,2,0,1,0,0,0,1,1,0,0,6,True
"A,Gadd9",1410,916,341,41,56,20,17,26,16,11,5,1134,True
"Gadd9,Asus4",290,207,31,12,14,2,7,7,2,0,1,335,True
"Bmin7,E7sus4",346,190,23,10,8,3,8,23,20,3,0,330,True
"E7sus4,C9",3,0,0,0,1,0,0,0,0,0,0,1,True
"C9,Bmin7",33,34,3,4,2,1,1,4,5,0,0,36,True
"Dsus4,Eb",230,162,14,20,11,15,2,4,1,3,3,164,True
"Cmin7,Bdim7",42,16,2,0,1,0,2,5,1,0,0,43,True
"Bdim7,Cmin7",97,53,3,5,2,0,4,8,6,1,0,98,True
"Abmaj7,Bbsus4",173,102,6,2,3,0,5,4,3,0,2,160,True
"C,Csdim",610,373,58,10,22,13,15,28,23,5,4,610,True
"Csdim,Dmin",406,205,30,10,13,11,7,15,12,9,4,411,True
"Fs,Amin",1228,767,69,45,84,53,24,32,21,17,7,888,True
"Gssus4,G",110,62,4,4,3,6,4,5,2,0,1,110,True
"Abmaj7,Bmin",16,17,1,4,0,0,2,5,3,0,0,15,True
"Bmin,Bbmin",1244,738,68,63,73,50,29,38,27,27,7,1105,True
"Dmaj7,Cmin",22,13,0,0,1,0,0,0,0,0,0,24,True
"Cmin,Emin",1333,705,70,49,83,53,44,39,25,19,3,991,True
"Dmin,F7",824,481,56,17,21,13,18,33,28,13,2,739,True
"C7,Dmin",1728,1014,204,40,57,28,40,72,47,24,3,1688,True
"Amin7,Amin7",581,322,28,15,13,3,20,60,41,6,3,467,True
"Cadd13,Bdim",19,6,1,2,1,0,0,3,2,0,0,26,True
"Bdim,Aminadd11",0,0,0,0,0,0,0,0,0,0,0,1,True
"Aminadd11,Dmin9",0,0,0,0,0,0,0,0,0,0,0,4,True
"Dmin9,Fsdim7",2,3,0,1,0,0,0,2,0,0,0,4,True
"Fsdim7,Fmaj911s",0,0,0,0,1,0,0,0,0,0,0,1,True
"Fmaj911s,Dmin",1,3,0,0,1,0,0,0,0,0,0,5,True
"Emin,Fmaj7",936,376,33,41,28,9,29,47,15,7,4,600,True
"E7,Aminadd11",2,0,0,0,0,0,0,0,0,0,0,3,True
"Aminadd11,Emin",6,1,0,0,0,1,0,0,0,0,0,3,True
"C,Bdim",171,85,6,2,6,0,2,7,4,0,0,146,True
"Bdim,E7",74,37,7,2,4,1,6,6,11,0,0,94,True
"Amin,Fno3d",138,112,4,9,28,10,5,4,2,2,1,83,True
"Gadd13,Fsdim7",66,32,1,3,2,2,2,9,5,0,2,69,True
"Fsdim7,E7",38,22,6,0,1,1,0,2,8,0,0,47,True
"E7,E7",288,189,39,9,7,5,14,20,22,4,2,311,True
"Amin,Fmaj911s",6,3,0,0,1,1,0,0,0,0,0,6,True
"Amin,Bdim",106,56,5,4,5,4,5,4,9,2,0,88,True
"Bdim,Cadd13",46,25,2,1,1,1,2,8,15,0,0,54,True
"Gadd13,Fmaj7",973,481,25,40,23,7,34,85,35,15,4,654,True
"A,Asdim7",253,161,16,3,14,4,5,15,8,5,1,249,True
"Asdim7,B",176,121,11,3,14,3,5,4,3,2,0,178,True
"A7,E7",719,953,125,19,29,9,17,79,53,12,1,767,True
"E7,D7",527,711,72,13,18,7,11,60,47,9,2,572,True
"Cmaj7,Bmin7",1194,595,33,57,28,9,40,138,53,13,5,881,True
"Gmaj7,Cmaj7",1210,529,35,55,21,10,49,95,42,11,8,891,True
"Dmaj7,A",3121,1513,176,112,96,42,76,105,50,18,8,2404,True
"Emin,Fmin",1090,525,61,42,51,62,33,29,24,21,4,786,True
"Amin7,B7",753,341,23,27,19,5,34,68,54,4,1,606,True
"Amin7,Bsus4",68,48,5,2,0,1,0,0,0,0,0,63,True
"Bsus4,B7",344,179,31,3,8,4,4,12,3,1,0,329,True
"Amin7,E7sus4",21,16,2,1,0,0,0,2,0,1,0,18,True
"C7,Bbmin",1020,552,60,25,49,15,24,25,31,6,3,1025,True
"A,Amin7",985,680,75,41,27,13,28,59,42,4,1,734,True
"Emin7,E",1266,787,102,48,49,18,40,78,34,10,6,882,True
"E7,Ebmaj7",75,41,3,5,2,0,4,14,13,1,1,61,True
"F,Cmaj7",811,480,41,33,24,12,25,69,17,2,4,577,True
"Fmaj7,Emin",1015,444,28,43,19,14,50,68,27,9,4,635,True
"Emin,Dmin7",975,454,73,29,26,6,25,57,27,13,3,742,True
"Dbmaj7,Abmaj7",959,381,28,52,15,6,45,85,29,8,3,666,True
"Gsdim,A",310,177,25,11,8,6,2,18,13,3,1,288,True
"Gsdim,Bmin",58,37,1,1,1,1,3,0,0,0,0,44,True
"Dmaj7,A13",17,20,0,2,0,0,1,3,2,0,0,18,True
"A13,Csaugmaj7",1,0,0,0,0,0,0,0,0,0,0,0,True
"Csaugmaj7,Bmin",2,3,0,0,0,0,1,0,0,0,0,4,True
"D,Fsaugmaj7",7,0,1,0,0,1,0,0,0,0,0,7,True
"Fsaugmaj7,E13",2,0,0,0,0,0,0,0,0,0,0,0,True
"E13,Bmin",19,10,0,2,0,0,0,1,0,1,0,17,True
"E13,Emaj7",9,12,0,1,0,0,0,2,1,0,0,8,True
"Emaj7,Faug",1,0,0,0,0,0,0,0,0,0,0,0,True
"Faug,Bmin7",12,5,0,0,0,0,1,1,1,0,0,12,True
"Bmin,Eadd13",644,322,29,14,16,4,18,50,23,11,2,487,True
"Eadd13,Csmin11",34,16,2,1,0,0,0,3,0,0,0,23,True
"Csmin11,Bmin7",15,13,0,0,1,0,0,1,1,0,0,10,True
"Csmin11,D",10,12,0,0,1,1,1,0,1,0,0,15,True
"D,Aaug",29,26,4,0,0,0,0,1,3,0,0,28,True
"Aaug,A",109,74,7,2,3,2,1,1,5,2,0,93,True
"Gsdim,E",79,46,4,1,5,2,2,3,3,1,0,61,True
"A,Asaug",16,15,1,3,1,0,1,0,1,0,0,10,True
"Asaug,Bmin7",41,20,2,1,0,0,0,1,4,1,0,39,True
"Csmin,Csdim",110,72,4,5,7,9,4,5,5,0,2,117,True
"Csdim,Csmin",43,37,5,6,5,3,1,4,7,0,1,55,True
"Csdim,Bsus4",2,5,0,0,0,1,1,0,0,0,0,7,True
"A,Gsaug",36,28,5,2,2,2,1,3,1,0,0,33,True
"Gsaug,Csmin",54,41,3,0,3,0,0,1,0,0,0,47,True
"Csmin,Bsus4",782,496,73,24,33,22,9,19,8,5,5,705,True
"Bsus4,A",1645,1030,178,51,60,20,14,27,20,13,7,1176,True
"Csmin7,Cssus2",74,53,1,2,5,2,3,0,2,1,0,33,True
"Cssus2,Csminadd9",5,3,0,0,0,0,0,0,0,1,0,2,True
"Csminadd9,B",26,24,0,0,0,2,0,0,0,1,0,13,True
"B,Csminadd9",33,24,1,0,0,1,0,0,0,0,1,21,True
"Fsno3d,Ano3d",897,1430,31,71,266,85,13,7,6,10,2,399,True
"Bno3d,G",469,522,24,46,108,42,13,10,10,6,0,215,True
"G,Dno3d",664,746,57,41,94,33,12,6,6,8,5,385,True
"Cs,Cmaj7",77,33,4,2,1,0,3,5,4,0,0,41,True
"Cmaj7,F",1562,806,91,60,49,20,43,81,46,8,5,1139,True
"G,Amaj7",147,78,5,7,3,1,2,20,8,0,0,96,True
"E7,Emin",630,345,60,22,15,8,15,39,28,6,2,650,True
"Csmin,G",3833,2141,234,164,301,138,84,91,44,61,16,2562,True
"Fmaj7,Fmin",302,116,13,12,5,3,9,23,13,1,2,248,True
"Fmin,Dmin7",210,91,17,2,3,1,5,14,13,0,0,167,True
"Dsdim7,A",169,139,12,5,8,4,4,10,9,0,2,175,True
"Fsmin7,Fsdim",44,23,5,0,1,0,2,14,19,0,1,52,True
"Fsdim,E",130,86,12,1,2,2,3,9,9,1,1,118,True
"D,Csmin7",1534,831,101,34,45,14,26,80,42,12,1,1151,True
"E7,Csmin7",793,464,30,23,21,7,24,68,49,13,4,729,True
"E7,Bmin",1358,844,123,34,41,15,21,74,62,21,3,1431,True
"Emin,Gsus4",409,230,27,17,17,6,8,4,6,3,1,270,True
"Eno3d,D",840,1104,52,48,165,71,9,14,9,8,1,403,True
"C,Eno3d",275,297,16,18,40,19,3,1,4,1,2,133,True
"Gmaj7,Fsaug",6,2,0,0,0,0,0,1,1,0,0,8,True
"Fsaug,G",80,57,7,1,2,2,3,7,5,0,0,72,True
"A7sus4,A7",652,447,42,11,13,5,14,33,26,5,0,603,True
"Emin,Asus4",900,591,99,23,22,29,15,21,14,10,3,826,True
"A7sus4,A",426,331,32,11,18,7,6,19,10,3,0,384,True
"Emin,A7sus4",136,97,12,6,4,1,4,3,1,0,0,127,True
"E,D7",633,507,55,13,18,4,22,31,29,9,4,682,True
"D7,Cs",387,261,25,9,14,10,8,24,29,3,1,412,True
"Fmin,Gdim7",171,92,7,3,8,8,4,8,9,2,0,175,True
"G,Eno3d",319,377,20,24,54,23,4,2,4,2,1,152,True
"Eno3d,G",564,741,31,44,115,49,9,6,3,3,1,276,True
"Eno3d,F",585,711,25,29,104,54,6,3,4,4,3,262,True
"A,Fmaj911s",4,3,0,0,0,0,0,0,0,0,0,0,True
"Fmaj911s,G",4,11,0,0,0,1,0,0,1,0,0,2,True
"Fmaj911s,E",8,9,0,0,1,1,0,1,1,0,0,4,True
"Fmaj911s,B",1,3,0,0,0,0,0,0,1,0,0,3,True
"Fmaj911s,A",13,11,0,0,1,0,0,1,1,0,0,8,True
"E,Fmaj911s",6,2,0,0,0,0,0,1,0,0,0,2,True
"G7,B",551,385,37,12,17,8,12,35,28,5,1,540,True
"Cadd13,Caug",23,18,2,1,0,0,1,2,0,0,0,26,True
"C,Caug",144,91,9,0,4,2,6,4,6,1,0,106,True
"F,Asus4",324,237,20,9,13,10,7,6,3,1,3,247,True
"Asus4,Cmaj7",66,41,4,7,1,6,0,1,0,0,0,54,True
"Asus4,F",482,326,29,23,21,28,6,7,8,2,5,290,True
"Bno3d,Fno3d",122,237,5,18,45,18,2,4,0,0,0,66,True
"Fsno3d,Bsus2",138,113,8,8,6,4,3,2,1,0,0,93,True
"Bsus2,Dno3d",17,9,0,1,0,0,0,0,0,0,0,7,True
"Dno3d,Bsus2",12,10,1,1,1,1,0,0,0,0,1,2,True
"Ano3d,Bsus2",18,18,0,1,2,1,1,0,0,0,0,11,True
"E,Ano3d",605,658,42,30,112,33,8,8,6,5,3,362,True
"Ano3d,Cmaj7",13,4,1,1,1,1,1,0,0,0,0,13,True
"Ano3d,Bsus4",47,46,5,3,4,1,0,1,0,0,0,38,True
"G7,D",1938,1701,321,34,79,24,52,121,84,23,6,1845,True
"Cmin,A7",229,108,16,2,10,2,5,4,8,0,0,242,True
"C7,A7",539,339,47,14,14,4,14,52,38,5,3,581,True
"E,C7",336,172,28,7,11,2,8,10,11,4,1,329,True
"Cadd13,Aminadd9",8,5,0,0,1,0,0,0,0,0,0,4,True
"Aminadd9,Amin",80,63,4,6,1,4,2,0,1,1,0,51,True
"G7,Fadd9",40,24,5,0,2,2,3,0,0,0,0,29,True
"Fadd9,G7",46,31,6,0,0,0,1,0,0,0,0,49,True
"Fadd9,G",1307,843,298,33,61,25,25,18,18,11,4,1058,True
"F,G7sus4",291,193,29,7,13,4,8,11,3,2,0,250,True
"F,Gsus4",1986,1314,249,57,49,63,31,33,31,12,11,1864,True
"Asus4,Emin",666,429,61,27,22,23,10,8,8,5,1,471,True
"A,Cadd9",141,104,31,4,11,2,2,2,5,2,1,109,True
"Cadd9,Emin7",598,351,83,21,22,8,10,10,4,7,3,533,True
"Cadd9,A7sus4",49,25,3,2,2,1,1,0,0,1,0,23,True
"A7sus4,A7sus4",13,8,0,1,0,0,0,0,1,0,0,9,True
"A7sus4,Dsus4",36,31,0,0,2,1,3,1,2,0,0,43,True
"Dsus4,A7",132,68,8,2,7,0,1,2,1,0,0,80,True
"D,A7sus4",196,165,12,3,5,2,2,7,2,0,0,214,True
"Emin,Dadd11",114,45,6,1,6,1,1,2,0,0,0,82,True
"Dadd11,A7sus4",3,2,0,0,0,0,0,0,0,0,0,3,True
"A7,Bsus4",49,31,2,2,2,0,2,3,2,0,0,49,True
"A7sus4,Asus4",41,27,2,1,0,1,0,0,0,1,0,33,True
"Gsus4,F13",12,7,0,1,0,0,0,0,0,0,0,7,True
"F13,Emin7",10,18,1,2,0,0,0,3,4,0,0,18,True
"Fadd9,Emin7",69,40,4,4,1,0,1,1,2,0,0,49,True
"Emin7,Amin11",36,15,1,0,1,0,0,1,1,0,0,22,True
"Amin11,G",81,69,4,1,2,0,2,4,4,1,0,78,True
"A,As7",203,188,28,4,9,7,6,13,12,2,0,213,True
"As7,G",361,299,27,8,11,8,11,13,25,6,2,379,True
"A7sus4,Emin",107,72,5,6,4,3,2,4,3,1,0,55,True
"Cadd9,Asus4",108,72,12,5,2,2,1,3,1,0,0,84,True
"Asus4,Gadd9",274,171,31,13,10,2,3,3,4,2,1,248,True
"Cadd9,Emin",1096,610,166,42,44,14,16,15,9,10,7,834,True
"Emin,Cadd9",668,450,123,25,35,9,17,12,9,3,2,554,True
"Cadd9,Amin",559,338,99,12,18,10,4,13,5,4,1,404,True
