n_gram,pop_raw,rock_raw,country_raw,alternative_raw,punk_raw,metal_raw,rap_raw,soul_raw,jazz_raw,reggae_raw,electronic_raw,other_raw,total,pop_rel,rock_rel,country_rel,alternative_rel,punk_rel,metal_rel,rap_rel,soul_rel,jazz_rel,reggae_rel,electronic_rel,other_rel,pop_dev_ratio,pop_log_dev_ratio,pop_abs_log_dev_ratio,rock_dev_ratio,rock_log_dev_ratio,rock_abs_log_dev_ratio,country_dev_ratio,country_log_dev_ratio,country_abs_log_dev_ratio,alternative_dev_ratio,alternative_log_dev_ratio,alternative_abs_log_dev_ratio,punk_dev_ratio,punk_log_dev_ratio,punk_abs_log_dev_ratio,metal_dev_ratio,metal_log_dev_ratio,metal_abs_log_dev_ratio,rap_dev_ratio,rap_log_dev_ratio,rap_abs_log_dev_ratio,soul_dev_ratio,soul_log_dev_ratio,soul_abs_log_dev_ratio,jazz_dev_ratio,jazz_log_dev_ratio,jazz_abs_log_dev_ratio,reggae_dev_ratio,reggae_log_dev_ratio,reggae_abs_log_dev_ratio,electronic_dev_ratio,electronic_log_dev_ratio,electronic_abs_log_dev_ratio,other_dev_ratio,other_log_dev_ratio,other_abs_log_dev_ratio,max_abs_log_dev_ratio,mean_abs_log_dev_ratio
baseline,28,27,5,1,3,1,0,2,0,1,0,32,100,0.28,0.27,0.05,0.01,0.03,0.01,0.0,0.02,0.0,0.01,0.0,0.32,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0
"Eb,Cmin",16,12,3,0,2,1,0,0,0,0,0,18,52,0.3076923076923077,0.23076923076923078,0.057692307692307696,0.0,0.038461538461538464,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.34615384615384615,1.0989010989010988,0.09431067947124121,0.09431067947124121,0.8547008547008547,-0.1570037488096648,0.1570037488096648,1.1538461538461537,0.14310084364067324,0.14310084364067324,0.0,,,1.2820512820512822,0.24846135929849972,0.24846135929849972,1.9230769230769231,0.653926467406664,0.653926467406664,,,,0.0,,,,,,0.0,,,,,,1.0817307692307692,0.07856232250310209,0.07856232250310209,0.653926467406664,0.2292275701883075
"Cmin,Ab",14,7,1,1,1,1,0,0,0,0,0,16,41,0.34146341463414637,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.3902439024390244,1.2195121951219512,0.19845093872383823,0.19845093872383823,0.6323396567299007,-0.45832859766523215,0.45832859766523215,0.4878048780487805,-0.7178397931503169,0.7178397931503169,2.4390243902439024,0.8915981192837835,0.8915981192837835,0.8130081300813009,-0.207014169384326,0.207014169384326,2.4390243902439024,0.8915981192837835,0.8915981192837835,,,,0.0,,,,,,0.0,,,,,,1.2195121951219512,0.19845093872383823,0.19845093872383823,0.8915981192837835,0.5090400966021598
"Ab,Bb",15,16,3,0,3,1,0,2,0,0,0,19,59,0.2542372881355932,0.2711864406779661,0.05084745762711865,0.0,0.05084745762711865,0.01694915254237288,0.0,0.03389830508474576,0.0,0.0,0.0,0.3220338983050847,0.9079903147699757,-0.09652156699062202,0.09652156699062202,1.0043942247332076,0.004384598317823905,0.004384598317823905,1.0169491525423728,0.01680711831638119,0.01680711831638119,0.0,,,1.6949152542372883,0.527632742082372,0.527632742082372,1.694915254237288,0.5276327420823719,0.5276327420823719,,,,1.694915254237288,0.5276327420823719,0.5276327420823719,,,,0.0,,,,,,1.0063559322033897,0.0063358184490857035,0.0063358184490857035,0.527632742082372,0.24384961833157548
"Bb,Eb",23,19,3,0,3,1,0,2,0,1,0,25,77,0.2987012987012987,0.24675324675324675,0.03896103896103896,0.0,0.03896103896103896,0.012987012987012988,0.0,0.025974025974025976,0.0,0.012987012987012988,0.0,0.3246753246753247,1.066790352504638,0.06465446988835313,0.06465446988835313,0.9139009139009139,-0.09003312270348111,0.09003312270348111,0.7792207792207791,-0.24946085963158326,0.24946085963158326,0.0,,,1.2987012987012987,0.2613647641344075,0.2613647641344075,1.2987012987012987,0.2613647641344075,0.2613647641344075,,,,1.2987012987012987,0.2613647641344075,0.2613647641344075,,,,1.2987012987012987,0.2613647641344075,0.2613647641344075,,,,1.0146103896103895,0.01450468620288163,0.01450468620288163,0.2613647641344075,0.18301402437049116
"Ab,Eb",23,22,4,1,3,1,0,2,0,1,0,24,81,0.2839506172839506,0.2716049382716049,0.04938271604938271,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.0,0.024691358024691357,0.0,0.012345679012345678,0.0,0.2962962962962963,1.0141093474426806,0.014010737069598149,0.014010737069598149,1.005944215820759,0.005926618669639343,0.005926618669639343,0.9876543209876543,-0.012422519998557209,0.012422519998557209,1.2345679012345678,0.21072103131565253,0.21072103131565253,1.2345679012345678,0.21072103131565253,0.21072103131565253,1.2345679012345678,0.21072103131565253,0.21072103131565253,,,,1.2345679012345678,0.21072103131565253,0.21072103131565253,,,,1.2345679012345678,0.21072103131565253,0.21072103131565253,,,,0.9259259259259258,-0.07696104113612844,0.07696104113612844,0.21072103131565253,0.12921400816135395
"Cmin,Fmin",11,4,1,0,0,0,0,0,0,0,0,7,23,0.4782608695652174,0.17391304347826086,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,1.7080745341614905,0.5353667326821082,0.5353667326821082,0.644122383252818,-0.4398665348254968,0.4398665348254968,0.8695652173913043,-0.13976194237515874,0.13976194237515874,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.9510869565217391,-0.05014978368547156,0.05014978368547156,0.5353667326821082,0.29128624839205886
"Fmin,Bb",11,4,0,0,0,0,0,0,0,0,0,7,22,0.5,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818181818182,1.7857142857142856,0.579818495252942,0.579818495252942,0.6734006734006733,-0.39541477225466304,0.39541477225466304,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.9943181818181818,-0.005698021114637779,0.005698021114637779,0.579818495252942,0.3269770962074143
"Eb,E",2,3,1,1,0,0,0,0,0,0,0,2,9,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.7936507936507935,-0.23111172096338684,0.23111172096338684,1.2345679012345678,0.21072103131565253,0.21072103131565253,2.222222222222222,0.7985076962177714,0.7985076962177714,11.11111111111111,2.407945608651872,2.407945608651872,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.6944444444444444,-0.3646431135879093,0.3646431135879093,2.407945608651872,0.8025858341473183
"Amin,E7",1,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7857142857142856,0.579818495252942,0.579818495252942,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.5625,0.44628710262841953,0.44628710262841953,0.579818495252942,0.5130527989406808
"E7,Amin",2,0,0,0,0,0,0,0,0,0,0,1,3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.3809523809523805,0.8675005677047228,0.8675005677047228,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0416666666666665,0.040821994520254985,0.040821994520254985,0.8675005677047228,0.45416128111248893
"Amin,A7",1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,1.2729656758128873,1.2729656758128873,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,1.2729656758128873,1.2729656758128873
"G,Amin",16,12,2,1,2,1,0,0,0,0,0,13,47,0.3404255319148936,0.2553191489361702,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.2765957446808511,1.21580547112462,0.19540679634261005,0.19540679634261005,0.945626477541371,-0.05590763193829618,0.05590763193829618,0.8510638297872339,-0.1612681475961224,0.1612681475961224,2.127659574468085,0.7550225842780328,0.7550225842780328,1.4184397163120568,0.34955747616986843,0.34955747616986843,2.127659574468085,0.7550225842780328,0.7550225842780328,,,,0.0,,,,,,0.0,,,,,,0.8643617021276596,-0.145763961060157,0.145763961060157,0.7550225842780328,0.34542131166615997
"Amin,E",8,3,0,0,1,0,0,0,0,0,0,6,18,0.4444444444444444,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.587301587301587,0.4620354595965585,0.4620354595965585,0.6172839506172839,-0.4824261492442928,0.4824261492442928,0.0,,,0.0,,,1.8518518518518519,0.616186139423817,0.616186139423817,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0416666666666665,0.040821994520254985,0.040821994520254985,0.616186139423817,0.40036743569623084
"E,Amin",7,2,0,0,0,0,0,0,0,0,0,7,16,0.4375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,1.5624999999999998,0.44628710262841936,0.44628710262841936,0.4629629629629629,-0.7701082216960737,0.7701082216960737,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.3671875,0.3127557100038969,0.3127557100038969,0.7701082216960737,0.5097170114427967
"Dmin,Amin",7,5,0,0,1,0,0,0,0,0,0,5,18,0.3888888888888889,0.2777777777777778,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,1.3888888888888888,0.32850406697203605,0.32850406697203605,1.02880658436214,0.028399474521697957,0.028399474521697957,0.0,,,0.0,,,1.8518518518518519,0.616186139423817,0.616186139423817,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.8680555555555556,-0.14149956227369948,0.14149956227369948,0.616186139423817,0.2786473107978126
"A7,Amin",1,0,0,0,0,0,0,0,0,0,0,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.7857142857142856,0.579818495252942,0.579818495252942,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.5625,0.44628710262841953,0.44628710262841953,0.579818495252942,0.5130527989406808
"F,E",5,3,1,1,1,0,0,0,0,0,0,2,13,0.38461538461538464,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,1.3736263736263736,0.3174542307854511,0.3174542307854511,0.8547008547008547,-0.1570037488096648,0.1570037488096648,1.5384615384615385,0.43078291609245434,0.43078291609245434,7.6923076923076925,2.0402208285265546,2.0402208285265546,2.5641025641025643,0.9416085398584451,0.9416085398584451,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.4807692307692308,-0.7323678937132265,0.7323678937132265,2.0402208285265546,0.769906359630966
"E,Gsmin",12,9,1,1,1,1,0,1,0,0,0,13,39,0.3076923076923077,0.23076923076923078,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.3333333333333333,1.0989010989010988,0.09431067947124121,0.09431067947124121,0.8547008547008547,-0.1570037488096648,0.1570037488096648,0.5128205128205128,-0.6678293725756556,0.6678293725756556,2.564102564102564,0.9416085398584448,0.9416085398584448,0.8547008547008547,-0.1570037488096648,0.1570037488096648,2.564102564102564,0.9416085398584448,0.9416085398584448,,,,1.282051282051282,0.24846135929849955,0.24846135929849955,,,,0.0,,,,,,1.0416666666666665,0.040821994520254985,0.040821994520254985,0.9416085398584448,0.40608099790023383
"Gsmin,B",15,8,2,0,0,1,0,0,0,0,0,11,37,0.40540540540540543,0.21621621621621623,0.05405405405405406,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,1.4478764478764479,0.37009796427087305,0.37009796427087305,0.8008008008008007,-0.2221430509806263,0.2221430509806263,1.0810810810810811,0.07796154146971192,0.07796154146971192,0.0,,,0.0,,,2.7027027027027026,0.9942522733438669,0.9942522733438669,,,,0.0,,,,,,0.0,,,,,,0.9290540540540541,-0.07358835665748907,0.07358835665748907,0.9942522733438669,0.3476086373445134
