n_gram,pop_raw,rock_raw,country_raw,alternative_raw,punk_raw,metal_raw,rap_raw,soul_raw,jazz_raw,reggae_raw,electronic_raw,other_raw,counts_completed,total,pop_rel,rock_rel,country_rel,alternative_rel,punk_rel,metal_rel,rap_rel,soul_rel,jazz_rel,reggae_rel,electronic_rel,other_rel,pop_dev_ratio,pop_log_dev_ratio,pop_abs_log_dev_ratio,rock_dev_ratio,rock_log_dev_ratio,rock_abs_log_dev_ratio,country_dev_ratio,country_log_dev_ratio,country_abs_log_dev_ratio,alternative_dev_ratio,alternative_log_dev_ratio,alternative_abs_log_dev_ratio,punk_dev_ratio,punk_log_dev_ratio,punk_abs_log_dev_ratio,metal_dev_ratio,metal_log_dev_ratio,metal_abs_log_dev_ratio,rap_dev_ratio,rap_log_dev_ratio,rap_abs_log_dev_ratio,soul_dev_ratio,soul_log_dev_ratio,soul_abs_log_dev_ratio,jazz_dev_ratio,jazz_log_dev_ratio,jazz_abs_log_dev_ratio,reggae_dev_ratio,reggae_log_dev_ratio,reggae_abs_log_dev_ratio,electronic_dev_ratio,electronic_log_dev_ratio,electronic_abs_log_dev_ratio,other_dev_ratio,other_log_dev_ratio,other_abs_log_dev_ratio,max_abs_log_dev_ratio,mean_abs_log_dev_ratio
baseline,131247,81276,15884,4358,10060,3007,4013,2909,1857,2156,545,106961,True,364273,0.3602984574755746,0.2231183755040862,0.0436046591430053,0.0119635548064226,0.0276166501497503,0.0082547979125545,0.0110164629275296,0.0079857689150719,0.0050978249829111,0.0059186379446184,0.0014961306492657,0.2936286795892092,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"C,F",92276,57275,13287,2651,7242,1832,1913,1806,1123,1198,287,78094,True,258984,0.3563000030889939,0.2211526580792636,0.0513043276804744,0.0102361535847774,0.0279631174126586,0.0070737960646217,0.0073865566984833,0.0069734037623945,0.0043361752077348,0.0046257683872362,0.0011081765668921,0.301539863466469,0.9889023827229352,-0.0111596552410643,0.0111596552410643,0.9911898003901224,-0.0088492388834632,0.0088492388834632,1.1765790328097128,0.1626111031379102,0.1626111031379102,0.8556113755822927,-0.1559390064177952,0.1559390064177952,1.0125455933659464,0.0124675494696006,0.0124675494696006,0.8569314645320784,-0.1543973349567091,0.1543973349567091,0.6705016616562693,-0.3997290980289193,0.3997290980289193,0.8732288445303417,-0.1355576217205264,0.1355576217205264,0.8505931887168517,-0.1618213038165181,0.1618213038165181,0.7815596139720411,-0.2464638505557485,0.2464638505557485,0.7406950505532275,-0.3001662761058785,0.3001662761058785,1.0269428173308128,0.0265862500689211,0.0265862500689211,0.3997290980289193,0.1479790240335879
"F,C",94559,59379,13617,2882,7671,2113,2090,1742,1111,1206,351,77885,True,264606,0.357357731873049,0.2244053422824879,0.0514614181084329,0.0108916653439453,0.0289902723294256,0.0079854576237878,0.0078985359364489,0.0065833730149732,0.0041986954188491,0.0045577197795968,0.0013265005328677,0.2943432877561355,0.9918380843950044,-0.0081954063953261,0.0081954063953261,1.0057680895869472,0.0057515178525012,0.0057515178525012,1.1801816392982365,0.1656683582399938,0.1656683582399938,0.9104037654508949,-0.0938670795785373,0.0938670795785373,1.0497389137432271,0.0485414796721266,0.0485414796721266,0.9673716677718855,-0.033172506005912,0.033172506005912,0.7169756743528666,-0.3327133659414995,0.3327133659414995,0.8243881190386163,-0.1931138417161929,0.1931138417161929,0.8236248660799347,-0.1940401123465154,0.1940401123465154,0.7700622714624664,-0.2612838953751966,0.2612838953751966,0.886620786439135,-0.1203379118308178,0.1203379118308178,1.0024337137909216,0.0024307571056923,0.0024307571056923,0.3327133659414995,0.1215930193383593
"C,E7",3323,1802,310,71,130,41,79,106,90,35,5,3600,True,9592,0.3464345287739783,0.1878648874061718,0.0323185988323603,0.0074020016680567,0.0135529608006672,0.0042743953294412,0.0082360300250208,0.0110508757297748,0.0093828190158465,0.003648874061718,0.0005212677231025,0.3753127606338615,0.9615209879089304,-0.0392388858931169,0.0392388858931169,0.8419964827268618,-0.1719794420325473,0.1719794420325473,0.741173064244547,-0.2995211259698766,0.2995211259698766,0.6187125639348379,-0.4801144696611762,0.4801144696611762,0.4907532494772814,-0.7118138243960744,0.7118138243960744,0.5178073860464032,-0.6581519474821479,0.6581519474821479,0.7476111052340942,-0.2908723489978218,0.2908723489978218,1.383821125717518,0.324848604418939,0.324848604418939,1.8405533825306764,0.6100662777796327,0.6100662777796327,0.6165057055121692,-0.4836877017374006,0.4836877017374006,0.3484105638490791,-1.05437371342707,1.05437371342707,1.2781883607518505,0.2454437322247004,0.2454437322247004,1.05437371342707,0.4475093395017087
"E7,Amin",8916,4529,578,223,287,112,221,248,267,90,26,9391,True,24888,0.35824493731919,0.1819752491160398,0.0232240437158469,0.0089601414336226,0.0115316618450658,0.0045001607200257,0.008879781420765,0.0099646415943426,0.0107280617164898,0.003616200578592,0.0010446801671488,0.3773304403728704,0.9943005025034728,-0.0057158016120743,0.0057158016120743,0.8155995610173629,-0.2038317785147394,0.2038317785147394,0.5326046384098926,-0.6299758966468137,0.6299758966468137,0.748953097854524,-0.2890789171124958,0.2890789171124958,0.4175619339252175,-0.8733224009621584,0.8733224009621584,0.5451569823631284,-0.606681484761484,0.606681484761484,0.8060465032360674,-0.2156138418172132,0.2156138418172132,1.2477998925733869,0.2213819146017313,0.2213819146017313,2.1044390014275263,0.7440489239794945,0.7440489239794945,0.6109852659394608,-0.4926824347666719,0.4926824347666719,0.6982546395005589,-0.3591714297098112,0.3591714297098112,1.2850598957185015,0.2508053287149898,0.2508053287149898,0.8733224009621584,0.4076925127666399
"Amin,C",49534,27749,4685,1846,3385,1464,1297,940,560,690,192,36801,True,129143,0.3835593102220019,0.2148703375328124,0.0362776147371518,0.0142942319754071,0.0262112541910904,0.0113362706457183,0.0100431304832627,0.0072787530102289,0.0043362783890725,0.0053429144436787,0.0014867240191105,0.2849631803504642,1.0645599565132866,0.0625615274038776,0.0625615274038776,0.9630329059512056,-0.037667697517328,0.037667697517328,0.8319664790447313,-0.1839631285822745,0.1839631285822745,1.1948147692467814,0.1779911685545773,0.1779911685545773,0.9491105564563724,-0.0522299893110099,0.0522299893110099,1.3732947512230618,0.3172127805290727,0.3172127805290727,0.9116474633764188,-0.0925019169541278,0.0925019169541278,0.9114655191801782,-0.0927015142348069,0.0927015142348069,0.8506134289836487,-0.1617975086271657,0.1617975086271657,0.9027270283590796,-0.1023350654412376,0.1023350654412376,0.993712694703624,-0.0063071536391174,0.0063071536391174,0.9704882395995236,-0.0299559943243678,0.0299559943243678,0.3172127805290727,0.1097687870932469
"C,G7",6143,3871,1620,82,160,50,93,190,154,36,14,7849,True,20262,0.3031783634389497,0.1910472806238278,0.079952620669233,0.0040469845030105,0.0078965551278254,0.0024676734774454,0.0045898726680485,0.0093771592142927,0.007600434310532,0.0017767249037607,0.0006909485736847,0.387375382489389,0.8414645057410572,-0.1726114459900562,0.1726114459900562,0.8562597329431031,-0.1551815225294548,0.1551815225294548,1.8335797651122847,0.6062702118710886,0.6062702118710886,0.338276086706096,-1.083892892344511,1.083892892344511,0.2859345751568959,-1.2519922525241023,1.2519922525241023,0.2989380846855642,-1.207518801664582,1.207518801664582,0.4166375994039508,-0.8755385012178598,0.8755385012178598,1.1742337292774383,0.1606157895610855,0.1606157895610855,1.4909170746367444,0.3993914169567243,0.3993914169567243,0.3001915171000158,-1.2033346176769768,1.2033346176769768,0.4618236876731333,-0.7725720891521844,0.7725720891521844,1.3192695721389778,0.2770782290010402,0.2770782290010402,1.2519922525241023,0.6804998142074723
"G7,C",15941,9686,3001,243,435,133,276,582,478,141,30,18457,True,49403,0.3226727121834706,0.1960609679574114,0.0607452988684897,0.0049187296318037,0.0088051332915005,0.0026921442017691,0.0055867052608141,0.0117806610934558,0.0096755257777867,0.0028540776875898,0.0006072505718276,0.3736007934740805,0.8955706178823851,-0.1102942019837518,0.1102942019837518,0.8787307074751483,-0.1292767906073435,0.1292767906073435,1.393091932430205,0.3315256886216112,0.3315256886216112,0.4111428176149707,-0.8888146367316306,0.8888146367316306,0.3188342265899371,-1.1430839771326602,1.1430839771326602,0.3261308429700844,-1.1204566193343894,1.1204566193343894,0.5071233205762626,-0.6790010691173807,0.6790010691173807,1.4752068609475584,0.3887982246686222,0.3887982246686222,1.8979713525318909,0.6407856065711363,0.6407856065711363,0.4822186648846973,-0.7293576062183335,0.7293576062183335,0.4058807111034188,-0.9016959775687028,0.9016959775687028,1.272357979461521,0.2408718557181029,0.2408718557181029,1.1430839771326602,0.6086635211894721
"F,G7",5786,3452,1322,96,137,55,97,196,127,49,7,6635,True,17959,0.3221782950052898,0.1922156022050225,0.0736121164875549,0.0053455092154351,0.0076284871095272,0.003062531321343,0.0054011916030959,0.0109137479815134,0.0070716632329194,0.0027284369953783,0.0003897767136254,0.3694526421292945,0.8941983744882698,-0.1118276330230169,0.1118276330230169,0.8614960635615702,-0.1490847923088982,0.1490847923088982,1.68817089582417,0.5236456326511768,0.5236456326511768,0.4468161263043164,-0.8056081195460418,0.8056081195460418,0.2762278215555489,-1.286529313334918,1.286529313334918,0.371000156973595,-0.9915527932653708,0.9915527932653708,0.490283645361218,-0.7127711872728466,0.7127711872728466,1.366649611024355,0.3123622052260028,0.3123622052260028,1.3871922352424657,0.3272817295965728,0.3272817295965728,0.4609906909171901,-0.7743774294275739,0.7743774294275739,0.2605231794541185,-1.3450634411172433,1.3450634411172433,1.2582307785675573,0.2297065902354206,0.2297065902354206,1.3450634411172433,0.6308175722504236
"C,D",77033,48865,10005,2316,6518,2056,1609,1425,880,1064,270,61342,True,213383,0.3610081402923382,0.229001373117821,0.046887521498901,0.0108537231175866,0.0305460135062305,0.0096352567917781,0.0075404319931765,0.0066781327472197,0.0041240398719673,0.0049863391179241,0.0012653304152626,0.2874736975297938,1.0019697081739842,0.0019677708424069,0.0019677708424069,1.026367158690733,0.0260255372083355,0.0260255372083355,1.07528696291672,0.072587568204995,0.072587568204995,0.9072322811410406,-0.097356763373376,0.097356763373376,1.1060723636138303,0.10081532918208,0.10081532918208,1.1672310932196233,0.1546343570248299,0.1546343570248299,0.6844694202468018,-0.3791113098362301,0.3791113098362301,0.8362541939594341,-0.1788226523541474,0.1788226523541474,0.8089802780189268,-0.2119807404421503,0.2119807404421503,0.8424808485638073,-0.1714043486889948,0.1714043486889948,0.8457352410256667,-0.1675489222265659,0.1675489222265659,0.9790382122481148,-0.021184605294951,0.021184605294951,0.3791113098362301,0.1319533253899219
